ID row col Width ALBST
L6_15748 587.2696812 624.8246844 0.000904985 0.563772242
L6_15967 590.306236 630.7854137 -0.003136132 0.562464213
L6_15749 590.9135469 619.2145863 0.003849885 0.561156184
L6_15968 593.9501016 625.1753156 -0.000119213 0.559848154
L6_16189 600.630522 625.5259467 -0.001026829 0.555270052
L6_16412 607.3109423 625.8765778 -0.002868511 0.552653993
L6_16190 604.2743876 619.9158485 0.00133283 0.550691949
L6_16413 610.954808 620.2664797 -0.000828823 0.547421876
L6_16414 614.5986737 614.6563815 0.001555072 0.544805818
L6_16637 617.6352284 620.6171108 -0.002377642 0.542843774
L6_16638 621.279094 615.0070126 -0.000182589 0.540227715
L6_16639 624.9229597 609.3969144 0.001842427 0.536957642
L6_16864 627.9595144 615.3576438 -0.002283854 0.536303628
L6_16865 631.60338 609.7475456 -0.001157006 0.533687569
L6_16640 628.5668253 603.7868163 0.003075346 0.531725525
